Date,^FCHI
2024-07-16,7580.02978515625
2024-07-17,7570.81005859375
2024-07-18,7586.5498046875
2024-07-19,7534.52001953125
2024-07-22,7622.02001953125
2024-07-23,7598.6298828125
2024-07-24,7513.72998046875
2024-07-25,7427.02001953125
2024-07-26,7517.68017578125
2024-07-29,7443.83984375
2024-07-30,7474.93994140625
2024-07-31,7531.490234375
2024-08-01,7370.4501953125
2024-08-02,7251.7998046875
2024-08-05,7148.990234375
2024-08-06,7130.0400390625
2024-08-07,7266.009765625
2024-08-08,7247.4501953125
2024-08-09,7269.7099609375
2024-08-12,7250.669921875
2024-08-13,7275.8701171875
2024-08-14,7333.35986328125
2024-08-15,7423.3701171875
2024-08-16,7449.7001953125
2024-08-19,7484.169921875
2024-08-20,7485.72998046875
2024-08-21,7524.72021484375
2024-08-22,7524.10986328125
2024-08-23,7577.0400390625
2024-08-26,7590.3701171875
2024-08-27,7565.77978515625
2024-08-28,7577.669921875
2024-08-29,7640.9501953125
2024-08-30,7630.9501953125
2024-09-02,7646.419921875
2024-09-03,7575.10009765625
2024-09-04,7500.97021484375
2024-09-05,7431.9599609375
2024-09-06,7352.2998046875
2024-09-09,7425.259765625
2024-09-10,7407.5498046875
2024-09-11,7396.830078125
2024-09-12,7435.06982421875
2024-09-13,7465.25
2024-09-16,7449.43994140625
2024-09-17,7487.419921875
2024-09-18,7444.89990234375
2024-09-19,7615.41015625
2024-09-20,7500.259765625
2024-09-23,7508.080078125
2024-09-24,7604.009765625
2024-09-25,7565.6201171875
2024-09-26,7742.08984375
2024-09-27,7791.7900390625
2024-09-30,7635.75
2024-10-01,7574.06982421875
2024-10-02,7577.58984375
2024-10-03,7477.77978515625
2024-10-04,7541.35986328125
2024-10-07,7576.02001953125
2024-10-08,7521.31982421875
2024-10-09,7560.08984375
2024-10-10,7541.58984375
2024-10-11,7577.89013671875
2024-10-14,7602.06005859375
2024-10-15,7521.97021484375
2024-10-16,7492.0
2024-10-17,7583.72998046875
2024-10-18,7613.0498046875
2024-10-21,7536.22998046875
